num,FSDB,moTagL,moTagR,tState,brand,moPITTag,season,moDay,moMn,moYear,moAge,arrivalDate,sex,pupBM,day,month,year,event
1,,W36-TH,W37,-+,,,1984,,,,,04/03/1984,,,,,1983,8
2,F01110,W112,W111,++,,,1984,,,1979,4,,F,3.5,24,12,1983,3
2,F01110,W112,W111,++,,,1985,,,1979,5,19/12/1984,,,,,1984,5
2,F01110,W112,W111,++,,,1986,,,1979,6,,F,,,,1985,2
2,F01110,W112,W111,++,,,1987,,,1979,7,,M,5.1,5,12,1986,2
2,F01110,W112,W111,++,,,1988,,,1979,8,,M,5.8,16,12,1987,2
2,F01110,W112,W111,++,,,1989,,,1979,9,02/12/1988,F,4.55,3,12,1988,2
2,F01110,W112,W111,++,,,1990,,,1979,10,02/12/1989,F,5.1,4,12,1989,2
2,F01110,W112-TH,W111,-+,,,1992,,,1979,12,15/12/1991,M,5.3,16,12,1991,2
3,,TH-W114,TH-W113,++,,,1984,,,1972,11,,M,,14,12,1983,2
3,,TH-W114,TH-W113-TH,+-,,,1985,,,1972,12,18/12/1984,M,4.6,20,12,1984,2
4,,TH-W117,W116,++,,,1984,,,1978,,,M,,14,12,1983,4
5,F00214,TH-W119,TH-W118,++,,,1984,,,1978,5,,,,,,1983,5
5,F00214,TH-W119-TH-W327,TH-W118,u+,,,1985,,,1978,6,15/12/1984,M,5.2,17,12,1984,2
5,F00214,TH-W119-TH-W327,TH-W118,u+,,,1986,,,1978,7,,M,5.9,11,12,1985,2
5,F00214,TH-W119-TH-W327,TH-W118,u+,,,1987,,,1978,8,,M,4.5,7,12,1986,4
5,F00214,TH-W119-TH-W327,TH-W118,u+,,,1988,,,1978,9,,F,5.35,12,12,1987,2
5,F00214,TH-W119-TH-W327-TH-W1105,TH-W118,u+,I0V,,1989,,,1978,10,06/12/1988,F,5.9,8,12,1988,2
5,F00214,TH-W119-TH-W327-TH-W1105,TH-W118,u+,I0V,,1990,,,1978,11,02/12/1989,F,5,5,12,1989,2
5,F00214,TH-W119-TH-W327-TH-W1105,TH-W118,u+,I0V,,1991,,,1978,12,30/12/1990,F,4.2,31,12,1990,3
5,F00214,TH-W119-TH-W327-TH-W1105-TH,W118-TH,u-,I0V,,1995,,,1978,16,28/11/1994,,,,,1994,5
6,,TH-W121,TH-W120,++,,,1984,,,1972,11,,M,,26,12,1983,2
7,,TH-W123,W122,++,,,1984,,,1980,3,,,,,,1983,5
8,,TH-W125,W124,++,,,1984,,,1980,3,,,,,,1983,5
9,,TH-W127,W126,++,,,1984,,,1980,3,,M,,20,12,1983,2
10,,TH-W129,W128,++,,,1984,,,1980,3,,F,,27,12,1983,2
11,,TH-W131,TH-W130,++,,,1984,,,1979,4,,F,,18,12,1983,2
11,,TH-W131,TH-W130,++,,,1985,,,1979,5,12/12/1984,,,,,1984,5
11,,TH-W131,TH-W130-TH,+-,,,1986,,,1979,6,,F,5,20,12,1985,2
11,,TH-W131,TH-W130-TH,+-,,,1987,,,1979,7,,F,5.4,18,12,1986,2
11,,TH-W131,TH-W130-TH,+-,,,1988,,,1979,8,,,,,,1987,5
11,,TH-W131,TH-W130-TH-W1106,#NAME?,IoL,,1989,,,1979,9,09/12/1988,M,5.5,11,12,1988,2
11,,TH-W131,TH-W130-TH-W1106,#NAME?,IoL,,1990,,,1979,10,09/12/1989,M,5.8,12,12,1989,2
12,,TH-W133,TH-W132,++,,,1984,,,1972,11,,F,,8,12,1983,2
12,,TH-W133,TH-W132,++,,,1985,,,1972,12,14/12/1984,,,,,1984,5
12,,TH-W133-TH,TH-W132,-+,,,1986,,,1972,13,,M,6.15,1,12,1985,2
12,,TH-W133-TH,TH-W132,-+,,,1987,,,1972,14,,,,,,1986,5
12,,TH-W133-TH,TH-W132,-+,,,1988,,,1972,15,,M,6.1,4,12,1987,2
12,,TH-W133-TH,TH-W132,-+,,,1989,,,1972,16,,,,,,1988,7
12,,TH-W133-TH,TH-W132,-+,,,1990,,,1972,17,,,,,,1989,7
13,,TH-W135,W134,++,,,1984,,,,,,M,,17,12,1983,2
14,,TH-W137,W136,++,,,1984,,,1980,3,,F,,27,12,1983,2
14,,TH-W137,W136,++,,,1985,,,1980,4,16/12/1984,F,,17,12,1984,2
15,,TH-W139,TH-W138,++,,,1984,,,1973,10,,,,17,12,1983,2
15,,TH-W139,TH-W138,++,,,1985,,,1973,11,13/12/1984,M,6.4,31,12,1984,4
15,,TH-W139,TH-W138,++,,,1986,,,1973,12,,,,,,1985,5
15,,TH-W139,TH-W138,++,,,1987,,,1973,13,,M,6.12,17,12,1986,4
15,,TH-W139,TH-W138,++,,,1988,,,1973,14,,M,7.55,19,12,1987,2
15,,TH-W139,TH-W138,++,XL,,1989,,,1973,15,08/12/1988,,,,,1988,5
15,,TH-W139,TH-W138,++,XL,,1990,,,1973,16,10/12/1989,,,,,1989,5
16,,W141,TH-W140,++,,,1984,,,1971,12,,,,,,1983,5
16,,W141,TH-W140,++,,,1985,,,1971,13,05/12/1984,M,6.5,6,12,1984,2
16,,W141,TH-W140-TH,+-,,,1986,,,1971,14,,F,6.2,3,12,1985,2
16,,W141,TH-W140-TH,+-,,,1987,,,1971,15,,M,6.4,4,12,1986,2
17,,TH-W144,TH-W143,++,,,1984,,,1972,11,,F,,25,11,1983,2
18,,W146,TH-W145,++,,,1984,,,1971,12,,F,,5,12,1983,2
18,,W146,TH-W145,++,,,1985,,,1971,13,29/11/1984,,,,,1984,5
18,,W146,TH-W145-TH,+-,,,1986,,,1971,14,,M,5.6,14,12,1985,2
19,,TH-W149,W148,++,,,1984,,,,,,M,,,,1983,2
20,,TH-W151,W150,++,,,1984,,,,,,,,,,1983,5
21,,TH-W153,TH-W152,++,,,1984,,,1972,11,,F,,29,11,1983,2
21,,TH-W153-TH,TH-W152,++,,,1985,,,1972,12,28/11/1984,F,4.6,29,11,1984,4
22,,W156,W155,++,,,1984,,,,,,M,6.6,21,12,1983,2
22,,W156,W155,++,,,1985,,,,,09/12/1984,M,5.5,10,12,1984,4
23,F00048,TH-W158,TH-W157,++,,,1984,,,1978,5,,M,,2,12,1983,2
23,F00048,TH-W158,TH-W157,++,,,1985,,,1978,6,14/12/1984,M,5.8,25,12,1984,2
23,F00048,TH-W158,TH-W157,++,,,1986,,,1978,7,,F,4.3,27,11,1985,2
23,F00048,TH-W158,TH-W157-TH,+-,,,1987,,,1978,8,,F,5.3,25,11,1986,2
23,F00048,TH-W158,TH-W157-TH,+-,,,1988,,,1978,9,,M,6.95,30,11,1987,4
23,F00048,TH-W158,TH-W157-TH,+-,XZ,,1989,,,1978,10,25/11/1988,M,5.9,27,11,1988,2
23,F00048,TH-W158,TH-W157-TH,+-,XZ,,1990,,,1978,11,21/11/1989,F,4.6,23,11,1989,2
23,F00048,TH-W158,TH-W157-TH,+-,XZ,,1991,,,1978,12,26/11/1990,F,4.7,28,11,1990,2
24,,TH-W161,W160,++,,,1984,,,,,,,,,,1983,5
25,,TH-W164,W163,++,,,1984,,,,,,,,,,1983,5
26,,TH-W166,TH-W165,++,,,1984,,,1978,5,,M,,5,12,1983,2
27,,TH-W168,TH-W167,++,,,1984,,,1972,11,,F,,5,12,1983,2
27,,TH-W168,TH-W167-TH,+-,,,1985,,,1972,12,19/12/1984,F,5.7,20,12,1984,2
28,,TH-W172,TH-W171,++,,,1984,,,1979,4,,M,,10,12,1983,2
28,,TH-W172,TH-W171,++,,,1985,,,1979,5,16/12/1984,,,,,1984,5
28,,TH-W172,TH-W171-TH,+-,,,1986,,,1979,6,,M,6.3,7,12,1985,2
29,,W174,TH-W173,++,,,1984,,,,,,F,,,,1983,2
30,,W176,W175,++,,,1984,,,,,,,,,,1983,5
30,,W176,W175,++,,,1985,,,,,03/02/1985,,,,,1984,5
31,,TH-W178,W177,++,,,1984,,,,,,,,,,1983,5
32,,TH-W180,W179,++,,,1984,,,1980,3,,M,,17,12,1983,2
33,F00152,TH-WHITE,TH-WHITE,++,,,1984,,,1978,5,,M,,17,12,1983,2
33,F00152,TH-WHITE,TH-WHITE,++,,,1985,,,1978,6,25/12/1984,M,5.1,25,12,1984,2
33,F00152,TH-WHITE,TH-WHITE,++,,,1986,,,1978,7,,M,6.3,20,12,1985,2
33,F00152,TH-WHITE,TH-WHITE,++,,,1987,,,1978,8,,F,5.1,17,12,1986,2
33,F00152,TH-WHITE,TH-WHITE,++,,,1988,,,1978,9,,F,5.65,18,12,1987,2
33,F00152,TH-WHITE,TH-WHITE,++,,,1991,,,1978,12,12/12/1990,F,4.6,13,12,1990,2
33,F00152,TH-WHITE,TH-WHITE,++,,,1992,,,1978,13,,,,10,12,1991,4
