num,FSDB,moTagL,moTagR,tState,brand,moPITTag,season,moDay,moMn,moYear,moAge,arrivalDate,sex,pupBM,day,month,year,event
1,F06137,Y5101,Y5101,++,,04108E1574,2001,16,12,2000,0,06/12/2000,,,,,2000,1
1,F06137,Y5101,Y5101,++,,04108E1574,2003,16,12,2000,2,26/12/2002,,,,,2002,5
1,F06137,Y5101-TH,Y5101-TH,--,,04108E1574,2005,16,12,2000,4,24/12/2004,,,,,2004,5
1,F06137,Y5101-TH,Y5101-TH,--,,04108E1574,2007,16,12,2000,6,05/01/2007,,,,,2006,5
1,F06137,Y5101-TH,Y5101-TH,--,,04108E1574,2009,16,12,2000,8,09/12/2008,,,,,2008,5
2,F06033,Y5103,Y5103,++,,04108E1C79,2001,26,11,2000,0,26/11/2000,,,,,2000,1
2,F06033,Y5103,Y5103,++,,04108E1C79,2002,26,11,2000,1,13/02/2002,,,,,2001,5
3,F05983,Y5104,Y5104,++,,,2001,,,2000,0,,,,,,2000,1
4,F06034,Y5110,Y5110,++,,04108E14D5,2001,26,11,2000,0,26/11/2000,,,,,2000,1
5,F05985,Y5112,Y5112,++,,,2001,,,2000,0,,,,,,2000,1
5,F05985,Y5112,Y5112,++,,,2001,,,2000,0,06/02/2001,,,,,2000,11
5,F05985,Y5112,Y5112,++,,,2003,,,2000,2,26/11/2002,,,,,2002,8
5,F05985,Y5112-TH,Y5112,-+,,,2005,,,2000,4,15/12/2004,F,3.8,16,12,2004,3
5,F05985,Y5112-TH,Y5112,-+,,,2006,,,2000,5,24/01/2006,,,,,2005,7
5,F05985,Y5112-TH-W7083,Y5112,-+,,04159E2805,2007,,,2000,6,10/12/2006,M,4.4,12,12,2006,2
5,F05985,Y5112-TH-W7083,Y5112,-+,,04159E2805,2008,,,2000,7,07/12/2007,,,,,2007,5
5,F05985,Y5112-TH-W7083,Y5112,-+,,04159E2805,2009,,,2000,8,03/12/2008,M,5.2,4,12,2008,4
6,F05986,Y5113,Y5113,++,,,2001,,,2000,0,,,,,,2000,1
6,F05986,Y5113,Y5113,++,,,2001,,,2000,0,27/02/2001,,,,,2000,11
6,F05986,Y5113-TH,Y5113,-+,,,2002,,,2000,1,02/04/2002,,,,,2001,8
6,F05986,Y5113-TH,Y5113,-+,,,2003,,,2000,2,17/01/2003,,,,,2002,8
7,F06063,Y5116,Y5116,++,,04108E21EE,2001,3,12,2000,0,03/12/2000,,,,,2000,1
7,F06063,Y5116,Y5116,uu,,04108E21EE,2002,3,12,2000,1,08/04/2002,,,,,2001,11
8,F06134,Y5117,Y5117,++,,04108E13C4,2001,15,12,2000,0,15/12/2000,,,,,2000,1
8,F06134,Y5117,Y5117,++,,04108E13C4,2001,15,12,2000,0,13/03/2001,,,,,2000,11
9,F05988,Y5118,Y5118,++,,,2001,,,2000,0,,,,,,2000,6
9,F05988,Y5118,Y5118,++,,,2001,,,2000,0,06/03/2001,,,,,2000,6
10,F06158,Y5124,Y5124,++,,04108E2263,2001,30,11,2000,0,30/11/2000,,,,,2000,1
11,F06151,Y5126,Y5126,++,,04108E15DA,2001,26,12,2000,0,26/12/2000,,,,,2000,1
12,F06117,Y5128,Y5128,++,,04108E1C95,2001,10,12,2000,0,10/12/2000,,,,,2000,1
12,F06117,Y5128,Y5128,++,,04108E1C95,2001,10,12,2000,0,23/01/2001,,,,,2000,11
12,F06117,Y5128,Y5128,++,,04108E1C95,2001,10,12,2000,0,13/02/2001,,,,,2000,11
