day,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,4,3,8,4,1,3,3,7,7,8,5,7,5,2,4,1,7,2,1,1,2,4,1,7,0,7,1,5,0,1,5,12,11,0
2,3,5,9,5,0,2,7,6,7,10,6,8,5,2,7,7,9,6,1,3,3,6,1,7,0,7,6,7,1,1,7,14,12,0
3,5,6,10,6,1,3,9,11,8,11,5,7,11,4,7,9,11,9,1,2,4,8,1,9,1,5,2,5,1,0,8,15,11,1
4,6,6,10,7,0,4,11,10,10,13,6,7,7,9,7,8,10,13,1,2,5,8,3,12,1,7,2,4,1,1,10,14,16,3
5,6,8,9,9,1,3,11,9,10,12,7,10,8,12,10,7,13,11,1,3,7,10,2,10,2,8,1,6,3,4,10,16,16,4
6,10,11,11,9,0,5,15,14,13,15,10,12,11,13,7,10,11,16,1,3,7,11,4,9,3,10,1,7,3,4,12,15,15,2
7,9,11,12,10,1,8,12,14,15,17,10,12,14,14,8,11,16,18,4,6,8,12,4,12,2,11,2,7,4,5,12,18,16,5
8,12,12,13,11,1,8,18,16,15,21,10,17,14,13,11,13,14,20,4,11,10,14,4,11,4,11,3,7,5,6,12,17,17,6
9,13,15,19,17,0,11,20,17,15,22,15,18,15,15,13,15,15,20,4,10,10,14,5,13,4,13,5,12,13,5,17,18,16,6
10,15,15,20,17,1,14,19,22,20,22,17,25,17,17,14,15,18,24,4,10,11,12,5,14,5,14,5,11,12,7,19,21,23,8
11,17,17,20,17,3,19,29,24,22,25,19,26,19,16,14,20,20,25,4,15,13,13,4,12,6,13,6,14,14,6,17,22,23,6
12,17,19,19,16,3,23,28,29,21,27,20,28,24,20,16,19,22,28,5,16,14,15,6,13,7,15,7,17,16,7,19,21,22,6
13,17,20,20,19,4,21,29,24,23,30,18,27,23,20,19,20,19,27,5,18,13,19,5,12,6,19,10,17,15,9,19,22,24,8
14,20,23,20,21,5,22,32,26,25,33,16,29,23,21,14,25,23,26,6,18,15,21,5,14,8,19,9,21,15,12,20,23,25,9
15,23,24,21,24,7,26,32,33,26,31,19,30,26,21,20,25,23,26,7,19,14,22,8,16,9,20,10,22,16,13,20,19,26,11
16,24,24,22,26,9,30,35,34,27,36,18,32,27,21,23,30,24,25,9,23,14,22,8,19,9,21,10,20,17,12,22,27,25,12
17,24,26,22,27,7,31,36,28,29,36,20,32,30,23,23,27,25,25,9,22,19,24,9,20,10,22,9,22,18,14,25,28,26,13
18,24,26,26,27,8,31,41,20,32,40,26,33,31,22,26,30,21,26,11,21,20,28,11,21,10,23,14,22,19,18,25,27,26,12
19,25,26,27,27,10,31,44,33,30,41,23,34,33,24,25,32,25,27,10,21,21,30,9,25,11,20,13,22,18,20,27,27,26,12
20,24,26,27,27,10,34,44,35,32,39,26,33,36,30,25,32,26,30,10,22,21,33,13,24,13,21,14,23,20,23,26,27,27,11
21,31,28,28,29,15,33,43,39,34,39,28,33,36,31,26,35,29,29,10,25,22,32,13,26,13,21,15,22,21,22,23,28,27,12
22,28,31,26,33,17,33,44,43,32,43,29,34,33,33,25,32,28,29,10,27,21,33,16,26,14,22,15,23,23,26,26,28,27,12
23,30,31,26,33,21,31,45,39,32,42,27,35,35,32,29,31,33,29,10,25,24,33,16,25,15,22,16,23,26,27,29,28,28,12
