year,afs,els,wed,area
1977,2018,0,0,
1978,1643,1139,14,
1979,1689,910,16,
1980,1792,1332,12,
1981,1026,503,0,
1981,188,139,0,
1981,1274,255,0,
1981,114,9,8,
1981,59,9,1,
1981,148,143,18,
1982,650,614,1,
1982,124,156,0,
1982,716,300,4,
1982,149,4,23,
1982,64,36,13,
1982,135,122,25,
1985,2993,725,3,1
1985,456,173,4,2
1985,1951,250,3,3
1985,907,22,40,4
1985,723,28,2,5
1985,1298,114,20,6
1986,3491,557,1,1
1986,1223,81,5,2
1986,2859,163,15,3
1986,1547,5,18,4
1986,1325,15,3,5
1986,1293,99,16,6
1987,6045,584,0,1
1987,1303,93,0,2
1987,3000,160,0,3
1987,794,10,3,4
1987,699,4,2,5
1987,1508,123,7,6
1988,8773,510,1,1
1988,1242,83,0,2
1988,2660,161,1,3
1988,959,14,8,4
1988,1122,24,4,5
1988,1797,75,5,6
1989,2719,172,0,1
1989,265,62,0,2
1989,1168,70,0,3
1989,433,1,0,4
1989,934,13,1,5
1989,397,44,0,6
1990,4887,321,3,1
1990,902,46,0,2
1990,5438,114,1,3
1990,2316,26,10,4
1990,2050,60,9,5
1990,984,79,4,6
1991,6769,388,3,1
1991,2037,99,1,2
1991,4129,140,1,3
1991,1529,16,18,4
1991,1351,15,1,5
1991,1414,64,2,6
1992,3811,292,0,1
1992,892,21,0,2
1992,2101,112,1,3
1992,665,14,9,4
1992,611,2,0,5
1992,1384,66,9,6
1993,3639,331,1,1
1993,832,46,1,2
1993,2829,142,2,3
1993,841,9,18,4
1993,771,28,0,5
1993,520,86,1,6
1994,5768,446,1,1
1994,1604,114,1,2
1994,5917,188,1,3
1994,3862,19,15,4
1994,2292,28,0,5
1994,1860,88,2,6
1995,8406,521,0,1
1995,1509,201,1,2
1995,4853,167,0,3
1995,1845,35,1,4
1995,2514,59,2,5
1995,1304,222,2,6
1997,6256,427,0,1
1997,1444,93,0,2
1997,3275,103,3,3
1997,1383,4,4,4
1997,1591,10,3,5
1997,1243,39,0,6
1998,4248,173,0,1
1998,1303,138,0,2
1998,2481,34,4,3
1998,530,0,7,4
1998,544,13,0,5
1998,309,24,6,6
1999,7040,321,0,1
1999,1722,79,0,2
1999,3391,100,2,3
1999,1263,8,1,4
1999,1712,24,2,5
1999,998,39,2,6
2000,6934,359,0,1
2000,2715,198,1,2
2000,6179,211,1,3
2000,1663,22,5,4
2000,2053,30,17,5
2000,883,47,0,6
2001,3256,179,0,1
2001,750,66,0,2
2001,1437,30,2,3
2001,1407,3,0,4
2001,1616,10,0,5
2001,1625,48,0,6
2002,4339,232,0,1
2002,1074,59,0,2
2002,2168,70,3,3
2002,444,1,0,4
2002,838,7,0,5
2002,1141,34,1,6
2003,1500,63,0,1
2003,407,9,0,2
2003,1359,29,0,3
2003,324,1,2,4
2003,322,5,11,5
2003,868,45,10,6
2004,4842,190,0,1
2004,1009,70,0,2
2004,1788,54,2,3
2004,417,7,0,4
2004,656,31,0,5
2004,827,35,0,6
2005,3969,449,0,1
2005,1151,122,0,2
2005,3001,155,0,3
2005,722,1,0,4
2005,658,10,1,5
2005,746,57,0,6
2006,3836,253,0,1
2006,1267,92,0,2
2006,2904,89,4,3
2006,866,21,4,4
2006,919,6,0,5
2006,636,61,4,6
2007,5630,382,0,1
2007,1032,66,0,2
2007,3309,84,1,3
2007,1587,15,0,4
2007,838,7,1,5
2007,714,43,0,6
2008,5010,173,0,1
2008,1304,47,0,2
2008,3132,41,0,3
2008,1122,0,1,4
2008,990,0,12,5
2008,1049,0,0,6
2009,5077,193,0,1
2009,1189,53,0,2
2009,2684,38,0,3
2009,1659,14,1,4
2009,875,5,4,5
2009,761,6,0,6
2010,6226,261,2,1
2010,1693,106,0,2
2010,4429,145,0,3
2010,2202,20,2,4
2010,2314,16,0,5
2010,2835,40,0,6
2011,5996,393,0,1
2011,1587,114,1,2
2011,4192,218,1,3
2011,1892,15,0,4
2011,834,8,0,5
2011,1151,32,6,6
2012,4983,303,0,1
2012,1305,115,0,2
2012,3713,153,5,3
2012,856,0,0,4
2012,551,4,1,5
2012,555,28,2,6
2013,6388,295,0,1
2013,694,126,0,2
2013,1987,170,1,3
2013,696,2,1,4
2013,364,3,4,5
2013,467,33,5,6
2014,6038,500,1,1
2014,1001,397,0,2
2014,4958,308,3,3
2014,1770,9,0,4
2014,708,18,0,5
2014,893,33,0,6
2016,3877,508,0,1
2016,1430,231,0,2
2016,4903,476,2,3
2016,819,8,9,4
2016,490,10,2,5
2016,958,61,1,6
2017,870,525,0,1
2017,269,159,0,2
2017,1205,525,8,3
2017,421,64,2,4
2017,396,68,0,5
2017,393,104,4,6
2018,3846,319,0,1
2018,834,41,0,2
2018,2620,208,2,3
2018,569,13,1,4
2018,288,7,3,5
2018,523,19,5,6
2019,2696,209,0,1
2019,775,59,1,2
2019,1533,154,6,3
2019,475,3,7,4
2019,378,7,0,5
2019,424,13,0,6
2020,1019,242,2,1
2020,237,46,0,2
2020,666,107,4,3
2020,478,10,4,4
2020,268,3,0,5
2020,365,40,0,6
2022,1208,352,3,1
2022,225,102,0,2
2022,848,350,3,3
2022,270,58,4,4
2022,127,28,0,5
2022,194,65,0,6
2023,2244,409,2,1
2023,568,131,2,2
2023,1831,428,3,3
2023,642,25,0,4
2023,330,27,0,5
2023,414,37,4,6
2024,1313,273,0,1
2024,157,64,0,2
2024,950,249,0,3
2024,372,28,1,4
2024,57,0,1,5
2024,126,11,2,6
2025,721,281,1,1
2025,257,56,0,2
2025,391,166,0,3
2025,118,9,1,4
2025,60,1,0,5
