year,day,date,males,females,pups,juv
2009,32,02-Dec-08,89,295,210,0
2009,34,04-Dec-08,77,332,258,0
2009,36,06-Dec-08,75,368,320,0
2009,38,08-Dec-08,89,470,404,0
2009,40,10-Dec-08,91,434,441,0
2009,42,12-Dec-08,85,394,366,0
2009,44,14-Dec-08,96,365,455,0
2009,46,16-Dec-08,90,347,431,0
2009,48,18-Dec-08,90,308,491,0
2009,50,20-Dec-08,73,272,382,0
2009,52,22-Dec-08,81,262,509,0
2009,54,24-Dec-08,70,238,407,0
2009,56,26-Dec-08,63,245,446,0
2009,58,28-Dec-08,66,281,486,0
2009,60,30-Dec-08,56,219,416,0
2009,62,01-Jan-09,65,252,389,0
2009,64,03-Jan-09,46,145,345,0
2009,66,05-Jan-09,39,160,285,0
2010,27,27-Nov-09,45,17,6,0
2010,29,29-Nov-09,49,44,10,0
2010,31,01-Dec-09,51,53,27,0
2010,33,03-Dec-09,48,91,52,0
2010,35,05-Dec-09,54,134,67,0
2010,37,07-Dec-09,60,205,107,0
2010,39,09-Dec-09,66,239,125,0
2010,41,11-Dec-09,66,282,155,0
2010,43,13-Dec-09,75,344,208,0
2010,45,15-Dec-09,72,338,199,0
2010,47,17-Dec-09,72,371,215,0
2010,49,19-Dec-09,72,342,214,0
2010,51,21-Dec-09,57,446,235,0
2010,53,23-Dec-09,62,417,230,0
2010,55,25-Dec-09,62,370,242,0
2010,57,27-Dec-09,57,319,251,0
2010,59,29-Dec-09,50,363,206,0
2010,61,31-Dec-09,48,247,258,0
2010,63,02-Jan-10,39,231,240,0
2010,65,04-Jan-10,41,264,201,0
2010,67,06-Jan-10,36,205,184,0
2010,69,08-Jan-10,30,168,176,0
2010,71,10-Jan-10,28,150,179,0
2010,73,12-Jan-10,24,151,161,0
2011,16,16-Nov-10,56,3,2,0
2011,18,18-Nov-10,71,4,2,0
2011,20,20-Nov-10,79,19,4,0
2011,22,22-Nov-10,79,37,17,0
2011,24,24-Nov-10,74,75,30,0
2011,26,26-Nov-10,74,126,47,0
2011,28,28-Nov-10,89,188,95,0
2011,30,30-Nov-10,106,269,159,0
2011,32,02-Dec-10,101,327,206,0
2011,34,04-Dec-10,93,358,205,0
2011,36,06-Dec-10,106,413,229,1
2011,38,08-Dec-10,115,529,320,0
2011,40,10-Dec-10,104,380,286,1
2011,42,12-Dec-10,97,463,369,2
2011,44,14-Dec-10,100,455,415,2
2011,46,16-Dec-10,87,411,303,0
2011,48,18-Dec-10,94,452,495,4
2011,50,20-Dec-10,88,436,503,1
2011,52,22-Dec-10,80,333,424,1
2011,54,24-Dec-10,70,306,346,3
2011,56,26-Dec-10,75,267,355,2
2011,58,28-Dec-10,69,214,246,9
2011,60,30-Dec-10,79,328,374,6
2011,62,01-Jan-11,69,229,455,7
2011,64,03-Jan-11,54,225,337,12
2011,66,05-Jan-11,49,223,356,2
2012,15,15-Nov-11,62,2,0,0
2012,17,17-Nov-11,74,6,1,0
2012,19,19-Nov-11,74,12,7,0
2012,21,21-Nov-11,82,17,9,0
2012,23,23-Nov-11,91,41,18,0
2012,25,25-Nov-11,91,74,45,0
2012,28,28-Nov-11,91,120,82,0
2012,29,29-Nov-11,85,154,98,0
2012,31,01-Dec-11,92,232,169,1
2012,33,03-Dec-11,96,336,253,0
2012,35,05-Dec-11,101,384,349,0
2012,37,07-Dec-11,89,436,288,2
2012,39,09-Dec-11,111,494,435,0
2012,41,11-Dec-11,108,462,468,1
2012,43,13-Dec-11,122,518,485,2
2012,45,15-Dec-11,112,483,512,2
2012,47,17-Dec-11,100,371,428,2
2012,49,19-Dec-11,103,377,456,2
2012,51,21-Dec-11,99,345,465,0
2012,53,23-Dec-11,97,355,493,1
2012,55,25-Dec-11,85,307,470,0
2012,57,27-Dec-11,71,282,510,3
2013,8,08-Nov-12,47,0,0,4
2013,10,10-Nov-12,56,0,0,3
2013,12,12-Nov-12,69,0,0,3
2013,14,14-Nov-12,78,0,0,1
2013,16,16-Nov-12,76,3,1,1
2013,18,18-Nov-12,79,4,2,4
2013,20,20-Nov-12,84,15,3,0
2013,22,22-Nov-12,84,32,11,0
2013,24,24-Nov-12,91,64,37,0
2013,26,26-Nov-12,91,103,65,0
2013,28,28-Nov-12,96,157,98,1
2013,30,30-Nov-12,92,222,151,1
2013,32,02-Dec-12,92,316,242,0
2013,34,04-Dec-12,88,383,281,0
2013,36,06-Dec-12,88,462,343,0
2013,38,08-Dec-12,97,485,424,1
2013,40,10-Dec-12,106,473,450,0
2013,42,12-Dec-12,94,418,437,0
2013,44,14-Dec-12,103,409,490,1
2013,46,16-Dec-12,101,343,542,0
2013,48,18-Dec-12,91,323,442,0
2013,50,20-Dec-12,85,271,471,0
2013,52,22-Dec-12,74,291,575,0
2013,54,24-Dec-12,79,310,527,0
2013,56,26-Dec-12,76,251,446,0
2013,58,28-Dec-12,56,233,479,0
2013,60,30-Dec-12,53,167,484,0
2013,62,01-Jan-13,56,233,519,0
2013,64,03-Jan-13,44,157,360,1
2013,66,05-Jan-13,39,155,357,1
2013,68,07-Jan-13,30,101,316,0
2014,10,10-Nov-13,27,2,0,0
2014,12,12-Nov-13,31,2,0,0
2014,14,14-Nov-13,37,2,0,0
2014,16,16-Nov-13,42,0,0,0
2014,18,18-Nov-13,40,2,1,0
2014,20,20-Nov-13,45,4,0,0
2014,21,22-Nov-13,45,10,2,0
2014,24,24-Nov-13,59,40,6,0
2014,26,26-Nov-13,64,73,14,0
2014,28,28-Nov-13,63,108,34,0
2014,30,30-Nov-13,66,119,47,0
2014,32,02-Dec-13,81,182,81,0
2014,34,04-Dec-13,77,207,118,0
2014,36,06-Dec-13,66,265,131,1
2014,38,08-Dec-13,80,329,195,0
2014,40,10-Dec-13,87,350,222,0
2014,42,12-Dec-13,78,372,237,0
2014,44,14-Dec-13,87,428,271,0
2014,46,16-Dec-13,74,408,298,0
2014,48,18-Dec-13,92,497,338,0
2014,50,20-Dec-13,86,404,336,0
2014,52,22-Dec-13,69,383,264,0
2014,54,24-Dec-13,62,254,271,0
2014,56,26-Dec-13,64,311,231,0
2014,58,28-Dec-13,55,329,279,0
2014,60,30-Dec-13,58,342,311,0
2014,62,01-Jan-14,55,312,289,0
2014,64,03-Jan-14,50,314,349,0
2014,66,05-Jan-14,38,249,241,0
2014,68,07-Jan-14,29,149,237,2
2014,70,09-Jan-14,29,222,233,2
2015,14,14-Nov-14,60,1,0,1
2015,16,16-Nov-14,72,2,1,0
2015,18,18-Nov-14,76,5,2,0
2015,20,20-Nov-14,81,8,3,0
2015,22,22-Nov-14,78,21,11,0
2015,24,24-Nov-14,90,42,24,0
2015,26,26-Nov-14,92,49,41,0
2015,28,28-Nov-14,83,101,63,1
2015,30,30-Nov-14,85,134,84,0
2015,32,02-Dec-14,87,240,167,0
2015,34,04-Dec-14,102,325,273,0
2015,36,06-Dec-14,105,385,313,0
2015,38,08-Dec-14,103,388,314,0
2015,40,10-Dec-14,100,449,323,0
2015,42,12-Dec-14,80,456,355,0
2015,44,14-Dec-14,101,533,612,0
2015,46,16-Dec-14,99,410,434,0
2015,48,18-Dec-14,102,465,470,0
2015,50,20-Dec-14,95,481,740,0
2015,52,22-Dec-14,93,437,697,0
2015,54,24-Dec-14,95,326,566,1
2015,56,26-Dec-14,93,350,632,0
2015,58,28-Dec-14,80,313,532,0
2015,60,30-Dec-14,69,296,508,5
2015,62,01-Jan-15,76,339,657,1
2015,64,03-Jan-15,72,325,644,0
2015,66,05-Jan-15,56,260,417,3
2015,68,07-Jan-15,44,171,335,2
2015,70,09-Jan-15,45,170,461,1
2015,72,11-Jan-15,38,137,422,1
2016,12,12-Nov-15,37,0,0,2
2016,15,15-Nov-15,49,0,0,1
2016,17,17-Nov-15,57,0,0,0
2016,19,19-Nov-15,64,0,0,3
2016,21,21-Nov-15,78,11,3,0
2016,23,23-Nov-15,74,16,7,0
2016,25,25-Nov-15,78,32,15,0
2016,27,27-Nov-15,78,53,34,0
2016,29,29-Nov-15,91,88,56,0
2016,31,01-Dec-15,82,136,121,0
2016,33,03-Dec-15,81,212,159,0
2016,35,05-Dec-15,91,233,223,0
2016,37,07-Dec-15,77,255,223,0
2016,39,09-Dec-15,101,281,300,0
2016,41,11-Dec-15,100,307,334,0
2016,43,13-Dec-15,105,315,394,0
2016,46,16-Dec-15,96,336,443,0
2016,47,17-Dec-15,90,364,562,0
2016,51,21-Dec-15,81,272,424,0
2016,53,23-Dec-15,86,244,500,0
2016,55,25-Dec-15,78,285,650,0
2016,57,27-Dec-15,82,296,586,3
2016,59,29-Dec-15,76,306,533,1
2016,61,31-Dec-15,73,334,604,0
2016,63,02-Jan-16,76,322,635,1
2016,65,04-Jan-16,55,234,564,0
2016,67,06-Jan-16,55,282,547,0
2016,69,08-Jan-16,40,212,531,0
2016,71,10-Jan-16,43,245,450,4
2016,73,12-Jan-16,21,59,310,0
2017,11,11-Nov-16,35,0,0,0
2017,13,13-Nov-16,44,0,0,0
2017,15,15-Nov-16,47,0,0,0
2017,17,17-Nov-16,48,0,0,0
2017,19,19-Nov-16,48,1,0,0
2017,21,21-Nov-16,51,4,0,0
2017,23,23-Nov-16,61,8,2,0
2017,25,25-Nov-16,70,12,5,0
2017,27,27-Nov-16,78,32,10,0
2017,29,29-Nov-16,81,56,33,0
2017,31,01-Dec-16,81,105,58,0
2017,33,03-Dec-16,82,136,102,0
2017,35,05-Dec-16,89,203,143,0
2017,37,07-Dec-16,86,315,219,2
2017,39,09-Dec-16,91,321,238,2
2017,41,11-Dec-16,103,449,328,3
2017,43,13-Dec-16,95,514,442,2
2017,45,15-Dec-16,94,460,385,0
2017,47,17-Dec-16,101,484,481,0
2017,49,19-Dec-16,89,405,429,2
2017,51,21-Dec-16,97,449,567,3
2017,53,23-Dec-16,80,391,435,1
2017,55,25-Dec-16,77,414,518,0
2017,57,27-Dec-16,68,371,564,3
2017,59,29-Dec-16,61,337,564,3
2017,61,31-Dec-16,55,310,498,0
2017,63,02-Jan-17,55,269,496,0
2017,67,06-Jan-17,49,299,480,0
2017,69,08-Jan-17,46,142,439,2
2017,71,10-Jan-17,38,101,403,0
2017,73,12-Jan-17,39,186,382,2
2018,9,09-Nov-17,24,1,1,1
2018,11,11-Nov-17,26,1,1,0
2018,14,14-Nov-17,44,2,1,0
2018,16,16-Nov-17,46,2,1,5
2018,18,18-Nov-17,52,2,1,1
2018,20,20-Nov-17,62,9,3,1
2018,22,22-Nov-17,62,20,7,3
2018,24,24-Nov-17,67,45,19,0
2018,26,26-Nov-17,66,77,43,2
2018,28,28-Nov-17,82,126,66,3
2018,30,30-Nov-17,91,188,110,1
2018,32,02-Dec-17,97,273,143,2
2018,34,04-Dec-17,106,407,222,0
2018,36,06-Dec-17,112,470,320,0
2018,39,09-Dec-17,123,642,495,1
2018,41,11-Dec-17,133,607,506,3
2018,43,13-Dec-17,124,675,598,4
2018,45,15-Dec-17,107,570,525,1
2018,47,17-Dec-17,120,591,708,6
2018,49,19-Dec-17,106,526,673,1
2018,51,21-Dec-17,95,406,564,4
2018,53,23-Dec-17,96,337,603,3
2018,55,25-Dec-17,87,450,710,1
2018,57,27-Dec-17,78,432,579,0
2018,59,29-Dec-17,65,358,535,1
2018,61,31-Dec-17,61,384,553,1
2018,63,02-Jan-18,64,276,472,2
2018,65,04-Jan-18,56,223,458,2
2018,67,06-Jan-18,48,158,381,1
2018,69,08-Jan-18,41,176,417,1
2018,71,10-Jan-18,34,158,401,1
2018,73,12-Jan-18,34,125,408,3
2019,11,11-Nov-18,71,0,0,0
2019,13,13-Nov-18,88,0,0,0
2019,15,15-Nov-18,89,0,0,0
2019,17,17-Nov-18,95,0,0,0
2019,19,19-Nov-18,90,0,0,0
2019,21,21-Nov-18,100,2,1,0
2019,23,23-Nov-18,103,1,1,0
2019,25,25-Nov-18,98,5,4,0
